,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
9324,0,365750,1,687,1108327,0,1,20781.06,15.2,0,8,0,630306,788150,0,0
10386,0,365750,0,747,3158826,0,1,19137.37,21,24,9,0,233776,602866,0,0
19085,1,365750,0,735,1102722,2,1,14243.54,14.8,0,13,1,280687,609774,1,0
36794,0,365750,0,707,930430,2,1,12018.07,22,0,7,1,93157,258676,1,0
23779,0,365728,1,689,891841,2,1,13452,26,33,7,0,194541,348678,0,0
65018,0,365728,1,655,1000350,0,3,8836.52,17,40,15,1,183103,646404,0,0
21130,0,365706,0,720,1114692,2,1,14156.52,29,0,9,0,261288,316140,0,0
62087,0,365706,0,743,993928,0,1,11513.05,15,0,10,0,617709,860706,0,0
57407,1,365662,0,733,807120,1,1,14124.41,14.4,0,11,0,170753,254144,0,0
83467,0,365596,0,726,791692,0,1,9170.54,22.4,15,9,2,226499,286000,0,0
27522,0,365574,1,718,1127574,0,1,23772.99,30.8,64,11,0,391989,600358,0,0
47687,1,365552,1,676,1187424,0,1,21670.45,25,0,8,0,212287,299024,0,0
82149,0,365552,0,714,1146270,2,1,18817.98,9.7,69,8,0,94848,148214,0,0
42760,0,365530,1,716,1597235,0,1,40463.16,16.6,0,12,4,125324,398618,2,2
57895,0,365508,0,744,1253031,0,1,28924.27,13.1,0,21,0,486438,1568952,0,0
25812,0,365464,0,745,1671012,0,1,24786.64,17.5,0,7,0,116299,307450,0,0
56208,1,365464,1,718,835506,2,1,21723.08,13.2,0,10,0,249812,322476,0,0
64175,0,365464,1,722,956289,2,1,21197.54,10.5,0,19,0,301150,571648,0,0
44483,0,365442,0,727,1225291,0,1,19808.83,19.1,0,22,1,261041,915926,1,0
47778,1,365442,1,666,1181135,0,1,23425.86,18.1,0,12,0,566314,753698,0,0
53063,0,365442,1,717,1341780,0,1,21244.85,22.6,6,11,0,413820,587202,0,0
15144,0,365420,1,631,929328,0,2,18741.41,20.1,31,9,0,100757,415184,0,0
13113,1,365398,1,662,1338778,2,1,23763.3,16,0,19,0,242174,407550,0,0
2315,1,365376,1,645,1164567,0,1,26882.15,19.2,23,9,0,20957,78298,0,0
52463,0,365376,0,703,1596589,0,4,30188.91,16.7,67,22,0,358340,689216,0,0
81106,0,365376,0,743,2535759,2,4,17687.1,18.2,47,7,0,20995,219054,0,0
16215,0,365354,0,747,1392092,2,1,32017.85,22.8,0,17,0,314754,552200,0,0
74115,0,365354,1,643,1289834,0,4,10576.54,15,20,8,0,165509,208758,0,0
41821,0,365310,1,714,1451657,0,1,40525.1,22,0,12,0,154394,226292,0,0
80865,1,365310,0,690,1052106,0,1,18762.69,8.4,46,9,0,194294,238326,0,0
19227,0,365288,0,718,917738,0,1,4955.77,20.5,27,10,0,192337,555390,0,0
26484,0,365288,1,704,1484584,2,1,20041.96,13,81,14,0,586986,1134672,0,0
72031,1,365288,1,730,1019160,0,1,16306.75,17.4,58,13,0,318193,526350,0,0
82535,1,365288,0,722,719112,1,1,5207.71,16.5,0,10,0,177479,304876,0,0
33138,0,365244,0,717,918498,2,1,9491.07,13.7,0,7,0,388474,581900,0,0
37967,0,365244,1,663,863683,2,1,13819.08,15.2,46,10,0,280896,397628,0,0
43092,0,365244,0,743,1213986,0,1,14567.68,38.7,5,23,0,218348,393800,0,0
83847,0,365244,0,742,1558646,2,1,32731.68,12.1,0,12,0,252339,859342,0,0
21078,1,365222,0,704,632776,2,1,17770.32,17.1,46,22,0,203547,426184,0,0
1474,1,365178,1,714,788614,2,1,10514.79,19.3,0,8,0,242991,318296,0,0
24318,0,365178,0,687,1642132,2,1,23400.4,21.5,1,22,0,926345,1681196,0,0
58720,0,365178,1,694,790780,0,1,18649.26,14.7,0,11,0,268508,454542,0,0
77701,1,365178,1,687,1113096,2,1,13264.47,23.7,0,9,0,93537,292710,0,0
76161,1,365156,1,602,882246,2,4,26761.69,6.5,0,12,0,205884,519354,0,0
31992,0,365134,0,668,1261372,2,1,24491.76,13.7,20,11,0,186162,236346,0,0
69921,1,365134,1,663,1075172,1,1,23385.01,15.5,0,8,1,144343,204578,0,1
28128,0,365112,0,740,731747,2,1,17805.85,15.9,0,11,0,371184,620202,0,0
14062,1,365090,0,751,863341,1,4,3136.71,15.1,0,12,0,134520,1226390,0,0
15483,0,365090,0,738,871739,0,4,12277.23,13.5,33,7,0,248387,418638,0,0
28540,0,365090,1,725,1168519,0,1,11977.22,15,8,9,0,352830,676390,0,0
40715,0,365068,0,748,3319718,2,1,27940.83,24.5,73,10,0,441940,1332628,0,0
71521,0,365068,0,719,817133,0,1,15389.43,13.4,0,16,1,96539,428318,1,0
82655,0,365068,0,744,1298213,1,1,18175.02,25,0,8,0,359575,2102738,0,0
56151,0,365024,0,749,1539152,0,1,17443.71,17.1,17,12,0,333811,1085722,0,0
23294,0,364980,0,728,982965,0,1,19577.41,10.6,0,8,0,169993,251702,0,0
60054,0,364980,1,744,1175530,0,1,27918.79,17.7,0,13,0,90839,1440824,0,0
66576,1,364980,1,653,1000882,1,4,9758.59,40.2,0,10,1,318972,747626,1,0
20006,0,364958,1,731,1816932,0,1,16958.07,15.6,0,11,0,439508,773410,0,0
35434,0,364914,0,741,1668447,0,1,26417.03,17.4,0,18,0,533387,1045022,0,0
68340,0,364914,0,720,1400699,0,3,20310.24,17.7,38,14,0,457957,845702,0,0
80065,1,364914,1,721,1464520,0,1,25019.01,20.2,0,10,0,274360,367268,0,0
82195,0,364914,1,739,926915,0,1,14212.76,15.8,0,15,0,306185,1248324,0,0
29599,0,364892,0,721,790172,2,1,23376.08,15.2,0,13,0,302879,839014,0,0
22534,0,364870,0,742,1112184,2,1,31419.16,17.2,4,18,0,366092,1324686,0,0
16166,0,364848,0,708,788196,1,1,16223.72,18,0,9,0,414922,546568,0,0
65223,0,364848,1,707,1208324,0,1,18527.66,12.8,45,17,0,631788,1213190,0,0
50424,0,364804,1,716,1228084,2,1,1923.94,23.6,0,8,1,40413,303864,1,0
3782,0,364760,0,745,1256717,0,1,17384.62,13.7,0,16,0,206245,852896,0,0
55431,1,364760,0,745,1315674,1,1,17432.69,17.8,41,13,0,349144,960256,0,0
72082,0,364760,0,727,1149006,0,1,22692.84,13.5,0,16,0,253365,365772,0,0
26828,0,364716,0,721,2112287,0,1,17074.35,13.9,0,3,0,281485,321750,0,0
29209,1,364628,1,675,1159152,0,4,8123.64,20.5,51,7,0,238355,527714,0,0
62848,0,364584,1,733,927238,0,1,23721.69,12.9,0,15,0,378480,892540,0,0
56677,1,364540,0,689,1063943,2,1,17200.51,13.2,0,7,0,177498,240944,0,0
46814,0,364496,1,702,1310468,0,1,40078.79,20.3,23,8,0,929651,1168794,0,0
58614,0,364474,0,706,789298,2,1,14036.44,12.5,0,8,0,229064,350372,0,0
9341,0,364430,1,717,1311380,0,1,36718.64,27.1,0,7,0,452485,550902,0,0
63922,0,364430,1,651,1096376,1,1,11511.91,28.2,0,11,0,397385,671704,0,0
32489,0,364386,1,685,1423632,2,1,14829.69,19.2,0,4,0,108034,242880,0,0
33234,0,364320,0,717,1644070,0,1,26442.11,28.6,1,10,0,138377,451374,0,0
67721,1,364276,1,721,786505,0,1,11011.07,13.5,54,9,1,56582,180004,0,1
7074,1,364232,1,732,1165080,0,1,20291.81,16,0,14,0,311220,501182,0,0
9128,0,364232,1,679,880783,2,1,19744.23,23.7,40,6,0,162583,236192,0,0
20314,0,364232,0,716,1086021,2,1,30589.62,11.2,0,11,0,313652,663938,0,0
40981,0,364232,1,702,1220066,0,1,9760.49,17.3,0,3,0,199500,275990,0,0
62810,1,364232,0,716,788747,2,1,13342.94,14.2,0,5,0,224542,284768,0,0
74991,1,364232,0,713,788747,2,1,14723.29,10.8,26,9,0,118294,363308,0,0
17537,0,364210,1,670,1419262,0,1,19396.53,11.3,69,13,0,83467,192896,0,0
20850,1,364210,1,677,927865,2,1,24047.16,17.5,17,14,0,151715,566698,0,0
68220,1,364166,1,700,936035,0,0,16458.75,12.6,0,10,0,160664,441870,0,0
19513,0,364122,0,736,1486408,1,1,12510.55,37.4,21,13,0,7828,2264328,0,0
50617,1,364012,0,735,970292,2,1,20618.8,9.7,0,9,0,99484,405592,0,0
35346,0,363990,1,719,1496896,0,1,22203.97,13.3,35,9,0,301530,396308,0,0
52001,0,363946,1,656,1396994,2,7,24098.08,8.5,0,15,0,270826,591668,0,0
54431,1,363924,1,648,750975,2,4,15207.03,12,0,7,0,277495,400136,0,0
1975,1,363902,0,736,876983,2,1,14689.47,10.5,0,29,0,252529,646888,0,0
27989,0,363902,0,686,875691,2,1,21162.58,20,66,10,0,266494,556996,0,0
3928,0,363858,1,721,806911,0,1,17012.6,14.6,0,25,0,383971,1166902,0,0
6275,1,363792,0,720,935845,2,1,20198.52,23.4,14,15,0,145293,263274,0,0
3111,0,363770,1,698,2337475,0,0,57268.09,25.7,11,22,0,647938,1364066,0,0
67930,0,363770,1,699,1648440,0,0,9423.62,21,9,8,0,213807,566522,0,0
47967,0,363726,0,707,2235521,2,1,21423.83,19.9,16,21,1,96140,153978,1,0
73280,0,363726,0,747,1199394,2,1,12993.53,16.9,0,9,0,328149,399124,0,0
9030,0,363682,1,650,1607856,2,1,8803.08,29.4,0,7,0,246145,407176,0,0
14771,0,363682,0,672,926535,2,1,16291.55,22,0,9,0,313234,435424,0,0
14991,1,363682,1,726,1963080,0,1,41224.68,31.6,0,28,0,741209,2211946,0,0
74561,0,363682,1,727,1196544,0,1,18546.47,13.4,0,11,0,97698,238172,0,0
51121,1,363660,1,718,799444,0,1,6928.54,8.4,0,13,1,150290,361812,1,0
17890,0,363594,1,709,1860841,1,1,14204.4,13.6,0,9,0,214415,462352,0,0
18828,1,363594,0,741,1336251,2,1,8418.33,9.5,0,4,0,125153,201278,0,0
29040,1,363528,1,698,1121304,2,1,24575.17,14.9,0,16,0,317889,731764,0,0
30016,0,363528,0,741,2018351,0,1,38684.95,20.9,8,18,0,434397,804760,0,0
35841,0,363462,0,738,1426862,1,1,19143.64,20.7,28,7,0,825151,1428174,0,0
36650,0,363462,1,642,1307922,2,1,15804.01,12.9,0,7,0,326230,443366,0,0
50302,0,363440,0,732,1616938,2,4,22502.46,18.8,44,13,1,210406,557502,1,0
38254,1,363374,1,735,1046045,0,1,16998.16,16.1,0,11,0,358777,819368,0,0
74349,0,363308,1,627,972781,2,1,13943.15,15.9,28,13,0,190456,512864,0,0
75444,0,363286,0,722,7448000,2,1,8875.66,23,0,20,1,229444,643236,1,0
78359,0,363198,1,653,871815,2,1,14748.18,12.7,62,7,0,280098,340318,0,0
16492,0,363110,0,736,1045323,2,1,12805.05,15.9,0,13,0,467248,772904,0,0
17224,0,363066,0,745,1444285,0,1,30691.08,30,0,13,0,461320,715066,0,0
22017,0,363022,0,747,1735555,0,1,20971.25,12.7,21,15,1,61123,257334,0,1
74912,1,363022,1,704,1051878,0,1,26559.91,15.9,0,15,0,423301,942590,0,0
43821,0,363000,0,743,1140000,0,1,21565,20.1,11,12,0,200925,1205446,0,0
19239,1,362912,1,671,1352211,1,1,21071.95,15.1,0,13,0,446861,738122,0,0
39430,1,362912,1,636,1125579,2,1,10786.68,18.1,0,9,1,58216,139282,1,0
40728,0,362912,1,680,1119366,0,0,24346.22,10.3,0,19,0,209931,658768,0,0
67648,1,362912,1,696,788272,2,1,16487.82,15.6,0,9,0,453378,637098,0,0
27836,1,362780,1,675,978519,2,1,20385.67,17.2,0,12,0,454176,838728,0,0
78236,1,362780,0,718,748220,1,1,16149.05,21.4,62,9,0,262124,551826,0,0
47184,0,362758,0,750,1843095,0,4,17816.49,14.7,0,7,0,13053,387508,0,0
79364,0,362758,1,638,748144,2,1,8977.69,17.3,44,6,1,162754,365926,0,0
4004,0,362692,1,740,1594119,0,1,35070.77,28,0,13,0,201514,893992,0,0
12364,1,362692,0,686,787778,2,1,23896.11,16,13,23,1,136059,521686,0,0
20823,0,362692,1,741,800945,2,1,21225.28,31.7,49,19,0,228304,813406,0,0
68018,0,362626,0,731,684342,0,1,3575.61,21.5,16,10,0,235220,601260,0,0
80450,1,362604,0,745,1009584,0,1,26838.07,18,0,14,0,627304,1513248,0,0
33542,0,362494,0,741,1138404,0,1,7608.36,17.1,44,15,0,314526,634480,0,0
12143,0,362362,1,707,1144902,0,1,19463.41,21.4,0,9,1,87742,305074,1,0
35362,0,362362,1,714,894121,0,1,13262.76,12.2,0,11,1,195434,381612,1,0
7897,0,362318,0,735,2607598,0,1,12016.74,15.7,57,11,1,313595,673684,1,0
43196,0,362296,1,736,1065596,0,1,17848.6,16.4,0,17,0,537111,1274416,0,0
77129,1,362296,1,653,761976,2,1,17843.09,18.5,0,15,0,192413,472032,0,0
84478,0,362296,1,715,711968,1,1,13467.96,23.5,0,7,0,534033,763400,0,0
47290,0,362274,0,746,1706580,0,1,6669.95,21,60,7,0,314754,559834,0,0
28584,0,362252,0,736,1322153,2,1,3162.17,13.2,15,10,0,128345,558668,0,0
76255,0,362208,0,738,1340640,2,1,5418.42,24,9,7,1,14117,185724,0,0
20162,0,362164,0,721,1117086,2,9,4989.59,12.2,0,5,0,210938,357632,0,0
24415,0,362164,0,727,758252,2,1,15796.79,12.9,0,15,0,267444,353496,0,0
15784,0,362098,1,722,1154079,0,1,14522.27,17.8,0,16,4,262732,570768,0,4
55030,0,362054,0,745,1383390,0,1,24094.09,20.7,0,13,0,286463,769582,0,0
51115,1,362032,1,709,848844,0,1,20018.59,10.7,20,10,0,138814,218394,0,0
31569,0,362010,1,667,627418,2,1,12966.55,16.7,19,16,0,205485,357786,0,0
23182,0,361922,1,700,663005,2,0,15138.63,22,0,16,1,56981,1081586,1,0
31570,1,361900,0,713,932995,2,1,20759.21,16.5,4,10,0,320283,543774,0,0
45988,0,361900,0,716,680409,2,1,13267.89,26.2,0,14,0,414808,687104,0,0
5743,0,361878,1,721,1878891,0,1,26461.11,23.1,0,5,0,625689,743050,0,0
80864,1,361878,0,708,1246400,0,1,15580,22.5,10,8,0,323437,527450,0,0
13309,1,361856,0,707,1333857,2,1,31790.23,23.1,0,20,0,614954,863082,0,0
67294,0,361790,0,702,784472,2,1,10263.61,13.5,76,10,1,68685,279048,1,0
33402,1,361768,1,664,746814,1,1,7094.79,15.3,20,8,0,362007,763510,0,0
36710,0,361768,0,706,1415880,0,1,33155.19,10.9,0,11,0,841548,1571636,0,0
50316,1,361768,0,708,869725,2,1,24931.99,24,0,13,1,238488,435578,1,0
17352,0,361702,0,702,859389,0,1,7805.96,22.5,41,7,0,199652,412082,0,0
67322,0,361702,1,726,1514528,2,1,19057.95,9.5,0,13,1,201666,539242,1,0
77676,1,361702,0,708,885704,0,1,13949.99,21.9,5,12,0,412623,752400,0,0
71859,1,361614,0,713,1155979,1,1,18591.88,15.5,0,12,0,311505,780692,0,0
23361,0,361592,1,675,872651,0,1,18253.11,27.4,75,8,0,133513,227348,0,0
36807,0,361570,1,679,1022333,0,1,12608.59,10.5,18,12,0,37012,88176,0,0
59026,1,361570,1,710,759240,2,1,10692.63,16.8,0,7,0,262428,320518,0,0
70607,0,361548,1,722,2230296,0,1,21559.49,14.5,0,12,0,399627,516450,0,0
20124,0,361526,0,724,963680,2,3,2023.69,21.1,16,11,0,51851,329846,0,0
65184,0,361394,0,739,1319056,2,1,24512.47,21.7,35,12,0,353153,544500,0,0
81270,1,361372,1,601,833492,0,1,12224.41,15,61,12,0,329061,382162,0,0
13012,0,361350,1,693,1263196,0,1,17684.63,9.8,0,9,0,103132,202070,0,0
65285,0,361350,0,716,2284028,2,4,20556.29,21.1,6,7,0,123690,305382,0,0
22997,0,361328,0,740,851067,2,6,16595.74,15.7,0,9,0,271225,361394,0,0
46246,1,361284,1,663,800318,2,1,16806.64,6.5,0,26,0,77083,524986,0,0
60197,1,361284,0,718,929423,2,1,22383.33,25,0,11,1,316654,982960,0,0
66811,1,361240,1,704,741684,2,1,13041.22,16.7,0,11,0,286235,420596,0,0
81861,1,361130,0,708,1441682,2,0,34480.06,20.5,0,11,0,341924,1596430,0,0
30084,0,361108,0,699,709802,1,1,18691.25,20.9,0,11,0,233966,399564,0,0
45938,0,361108,1,675,1206595,1,1,26947.32,19.8,0,19,1,121467,581218,1,0
58412,0,361086,1,656,1601605,0,1,15482.15,17.4,35,8,0,183958,292182,0,0
76047,1,361086,1,733,1224759,0,1,18779.6,13.5,0,12,0,406942,822316,0,0
3740,0,361064,1,655,1299277,0,1,27934.37,17,0,19,0,832941,1296328,0,0
1490,0,360998,1,729,2319672,2,1,17126.98,23.4,7,9,0,175864,557898,0,0
21393,0,360998,1,670,709441,2,1,10286.79,25.3,0,7,0,411084,497376,0,0
20749,1,360932,1,603,867236,2,1,13803.31,11,0,12,0,360297,448580,0,0
44275,1,360910,0,715,744344,1,1,5743.89,5.1,0,6,0,211888,610324,0,0
34555,1,360888,0,714,891841,0,1,18728.68,16,25,9,0,301454,444092,0,0
30716,0,360866,1,688,742254,0,1,9958.66,13.3,57,9,0,166060,319396,0,0
48448,0,360822,1,702,678509,0,1,11704.19,31.9,0,8,0,250420,491458,0,0
32161,0,360800,0,734,1168500,2,1,16261.72,9.8,59,7,0,87476,187242,0,0
80286,0,360800,0,749,1850125,1,0,3376.49,20.9,0,14,0,53314,2058078,0,0
3341,0,360756,1,726,1071030,2,1,20706.39,9,0,13,0,242915,779108,0,0
18737,0,360756,0,733,981882,2,1,18246.46,12.7,0,14,0,123519,922768,0,0
46541,1,360756,0,730,1421542,0,1,23573.68,30.3,6,10,0,122949,232232,0,0
16565,0,360734,1,666,1563529,2,1,11726.61,15.4,24,18,1,84246,153384,1,0
46179,1,360734,1,683,1216950,2,1,23811.75,19.1,14,7,0,150176,216546,0,0
83729,0,360734,1,732,1090391,1,0,15174.54,14.8,69,6,0,14630,434148,0,0
34754,0,360712,1,691,866571,1,1,24191.75,11.4,0,7,0,361418,469150,0,0
8324,1,360690,1,672,1137872,2,1,32239.39,18.1,0,9,0,316217,398860,0,0
27835,1,360690,1,719,973465,0,1,19225.91,11.8,0,12,0,430654,734404,0,0
31364,1,360690,1,632,1148683,2,1,20389.28,20.4,16,27,0,169271,485144,0,0
43556,0,360690,1,713,1482209,2,1,16798.47,18.6,16,11,0,127889,326898,0,0
79369,1,360690,1,692,2823058,1,0,13903.63,11.7,62,22,0,140410,259292,0,0
43552,0,360668,0,709,2044077,0,1,39518.86,19.5,0,18,0,966606,1146772,0,0
1662,0,360624,1,734,1206861,0,1,19510.91,15.2,0,14,0,342608,1035804,0,0
19335,0,360624,0,703,795207,0,1,19217.55,21.5,0,10,0,158745,225808,0,0
24205,1,360624,0,732,743736,0,1,12147.65,28.1,0,13,0,330125,583594,0,0
31269,0,360624,1,662,1167930,2,1,14404.47,23,57,6,0,95665,263758,0,0
37793,0,360624,0,745,1051137,2,1,10248.6,12.8,0,6,1,113905,511236,1,0
21433,1,360580,1,681,3931651,0,1,20870.36,17.5,14,10,0,105298,207372,0,0
26784,0,360580,1,689,1534649,0,1,21229.27,15.2,44,11,0,208278,636328,0,0
62942,1,360580,0,727,2316176,0,1,19282.15,27.6,0,21,1,1072854,2145506,1,0
81873,0,360580,1,725,1557050,0,1,12119.15,16.4,0,11,1,66234,412302,1,0
39725,0,360558,1,706,1265020,0,1,18490.23,16.2,76,12,0,152304,728750,0,0
59946,1,360558,1,656,1507479,0,1,31405.86,15.4,48,11,0,347263,412412,0,0
10773,0,360536,0,703,1779312,2,4,9474.92,11.8,0,6,2,33953,165176,2,0
23252,0,360536,1,730,1349266,0,1,22937.56,31,0,13,0,452390,851752,0,0
56290,0,360536,1,661,1022428,2,1,18437.79,11.4,0,16,0,349695,506132,0,0
33904,0,360514,0,747,1907068,1,1,31784.34,17.5,39,14,0,287280,786412,0,0
40926,0,360514,1,724,3891960,1,1,14238.22,17.3,56,7,0,297350,378334,0,0
81114,0,360514,1,653,1148132,0,1,29851.28,25.4,10,14,0,96387,225456,0,0
84125,0,360514,0,738,1148132,1,0,18274.39,34.9,0,6,0,212952,412324,0,0
1916,0,360492,0,745,2918685,2,1,41104.79,23.1,47,11,0,544996,1076878,0,0
2401,0,360492,0,720,972895,2,1,11131.53,15.4,0,5,0,404548,495682,0,0
3250,1,360492,0,720,867483,2,1,10698.9,14.4,0,16,0,403693,698698,0,0
48349,0,360492,1,723,1128562,0,1,18338.99,13.5,28,21,0,341335,639518,0,0
78652,1,360492,0,740,1070194,1,1,26219.43,9.7,0,14,0,394155,745756,0,0
5464,1,360470,0,724,709441,1,1,18504.48,9.5,0,19,0,272099,382844,0,0
58674,1,360426,0,745,3075777,0,0,3690.94,19.2,63,8,0,310441,1467136,0,0
1041,0,360404,0,738,875444,2,4,14809.36,10.1,0,10,0,235277,574750,0,0
51430,0,360404,0,724,1342331,1,1,34117.54,19.7,21,13,0,290510,983576,0,0
58300,1,360404,1,715,910537,0,1,22763.52,29.8,0,13,0,579063,1193038,0,0
27517,0,360382,1,691,1186588,0,1,28873.54,19,0,29,0,409317,732512,0,0
64934,0,360382,0,676,1303305,0,1,11295.31,28.1,17,11,0,247741,407484,0,0
67035,1,360382,0,718,811813,2,1,23001.4,14.2,9,13,0,239134,502502,0,0
23712,0,360360,0,718,1482000,0,1,28281.5,26.3,43,17,0,327845,536162,0,0
46513,1,360360,1,737,806854,0,1,12237.33,20,0,8,0,75829,454916,0,0
8867,0,360338,1,684,852606,0,1,8383.94,16.8,0,9,1,130834,315590,1,0
51632,0,360338,0,751,972515,0,1,12480.72,12.8,50,10,0,305463,963754,0,0
55198,0,360338,1,654,2139533,2,1,19434.15,14.7,77,12,0,284259,427482,0,0
59533,0,360338,0,748,1400414,0,1,29292.11,23.5,80,13,0,332462,14257716,0,0
23089,0,360316,0,735,1485857,0,1,26745.35,16.6,0,8,0,274265,432652,0,0
35551,0,360316,1,674,1618154,2,1,12446.14,15.2,27,23,0,291422,765138,0,0
38798,0,360316,0,725,1361388,2,1,35169.19,16.1,0,30,0,412205,1178496,0,0
48620,0,360316,0,750,1264146,0,1,17803.38,26.9,0,14,0,617671,1829124,0,0
76848,0,360316,0,747,1865097,2,1,22381.24,16.7,5,18,0,210368,1360832,0,0
49587,1,360294,1,700,744477,1,1,17557.33,24.8,21,19,0,408899,795718,0,0
12958,0,360272,0,722,3305905,0,1,42976.86,21.6,0,16,0,760228,985732,0,0
29906,0,360272,0,731,1730748,0,0,24086.11,21.3,0,11,1,169917,499378,1,0
85172,0,360272,0,747,2430822,0,1,41121.13,22.1,13,10,0,233890,775962,0,0
81436,0,360250,0,676,1133350,2,1,9916.86,15,27,7,1,91675,128348,1,0
13739,0,360228,0,720,2138906,0,1,10837.03,12.3,18,16,1,201761,673244,0,0
26191,0,360206,1,644,916104,0,2,17329.71,13.5,0,10,0,819793,1340724,0,0
53892,1,360206,0,741,1127802,0,1,14191.48,25.1,0,14,0,641307,1436292,0,0
68846,0,360206,0,744,1166562,0,4,27025.41,16.8,0,10,0,491663,1842390,0,0
80582,0,360206,1,655,762470,2,1,5813.81,10.7,0,4,0,196650,355762,0,0
14268,0,360162,0,717,1338474,2,1,9837.82,18,48,7,0,0,0,0,0
14900,1,360162,0,747,890397,0,1,20256.28,17,59,9,0,316255,512886,0,0
24806,1,360162,0,728,1671905,0,0,16022.51,11.7,27,18,0,173337,793298,0,0
61823,1,360162,1,721,1049807,0,1,7663.65,22.4,27,8,0,192603,296956,0,0
6971,0,360140,0,742,1697023,0,1,23475.45,20.1,14,8,0,290111,346654,0,0
78137,0,360140,0,741,829084,2,1,10847.29,10.8,0,8,0,281219,535568,0,0
50476,1,360118,0,704,811319,0,1,18998.48,16.1,65,25,0,488813,1061896,0,0
14752,0,360096,1,694,1319360,2,1,25067.84,16,0,12,0,599925,765886,0,0
32564,1,360096,0,735,709764,2,1,20642.36,14.7,0,10,0,322791,675862,0,0
57510,0,360096,0,746,971850,1,1,22838.57,13.9,0,10,0,194731,677138,0,0
40572,0,360074,0,736,1224759,2,1,16126.06,27.8,77,9,0,106590,217294,0,0
784,0,360052,0,719,721582,0,1,13529.71,17,0,6,0,354730,416130,0,0
54422,0,360052,0,725,1749159,1,1,26528.94,16.6,34,18,0,328434,540188,0,0
82554,0,360052,0,742,1535371,2,1,26869.04,8.1,0,15,0,159144,711436,0,0
51874,0,360030,1,742,971660,2,1,11983.87,23.4,0,14,0,345705,1471624,0,0
68541,0,360030,1,708,932786,2,1,18189.46,10.6,12,10,0,150081,272382,0,0
19178,0,360008,0,705,795055,0,1,18749.96,18.3,0,20,0,227392,765380,0,0
73423,0,359986,0,737,1165878,0,1,30021.33,13.5,59,16,0,351367,668074,0,0
32718,0,359964,0,737,3400145,0,1,37968.27,14,0,13,0,1180527,3149608,0,0
53195,0,359964,0,746,2428675,0,6,27929.81,28.1,0,11,0,485602,1166550,0,0
61785,1,359964,0,743,1437768,1,1,24562.06,29,18,12,0,739594,1559888,0,0
65864,1,359964,1,729,971470,2,1,10119.4,11.3,31,12,0,170753,513524,0,0
9946,1,359920,0,722,1865040,0,1,41807.98,22.7,5,11,0,411293,517660,0,0
14215,0,359920,1,698,1748475,2,1,31181.09,26.6,5,10,0,977664,1589940,0,0
65591,0,359920,0,743,1282215,0,1,8216.93,17.5,40,8,0,220837,501358,0,0
46012,0,359898,0,748,719112,0,2,611.23,11,0,9,0,67260,1179926,0,0
1663,0,359876,0,718,961571,0,4,24199.35,16.6,37,15,0,305900,587378,0,0
35766,0,359876,1,620,1126776,0,0,18122.39,13.5,0,9,1,125077,428450,1,0
63265,1,359876,0,713,1209692,0,1,36592.86,20,0,15,0,520163,815012,0,0
8516,0,359854,1,740,1262550,1,1,10836.84,20.2,0,6,0,232047,716518,0,0
39266,0,359854,1,707,2661045,0,1,36145.98,20.1,18,11,0,719435,922526,0,0
80331,0,359854,0,751,2971828,2,1,22784.04,24.5,0,16,0,265905,2565794,0,0
71014,0,359810,1,684,1220427,0,1,26442.49,22.6,12,10,0,300466,393558,0,0
46026,1,359788,0,744,1126358,2,1,28628.25,24.6,38,6,0,111853,269830,0,0
81153,0,359788,0,751,1262303,0,0,13569.61,15,0,10,0,108319,720830,0,0
84052,1,359788,1,737,2140388,0,1,16659.39,12.7,0,10,0,451212,838618,0,0
44350,1,359766,1,680,868129,2,1,24886.2,12,18,18,0,233567,814572,0,0
62460,0,359766,1,714,779095,2,4,7790.95,26,0,11,0,261953,811008,0,0
5946,0,359744,1,724,784909,0,1,20146.27,22.8,19,16,0,312379,1159290,0,0
11142,0,359744,1,650,1417514,2,1,28940.99,14.4,0,22,0,223915,790416,0,0
27272,1,359744,0,710,1281588,2,1,16126.63,20.4,20,13,0,237424,449922,0,0
39526,0,359744,0,744,1456350,0,1,28156.1,16.5,31,12,0,391894,677270,0,0
44870,0,359744,0,748,1514604,0,1,21330.73,22,30,10,0,318174,371030,0,0
8602,0,359700,0,713,1941610,0,0,26697.09,22.2,72,9,0,539030,762058,0,0
23842,0,359700,0,734,1456217,0,1,14926.21,19.7,0,14,0,318915,465652,0,0
52173,0,359700,1,694,2329932,2,1,30483.22,22.7,44,5,0,342760,741818,0,0
60205,0,359700,1,720,1126130,0,1,18862.82,11.9,54,14,0,202008,535238,0,0
34842,1,359678,1,722,1261923,2,1,23661.08,12.8,59,12,0,531430,970552,0,0
38167,0,359678,1,714,1786114,0,1,22177.37,18,15,16,1,216296,622996,0,1
50568,0,359678,1,722,1650207,1,1,16914.56,14.2,0,8,0,181716,596068,0,0
76814,0,359678,0,710,3300414,0,1,71508.97,14.2,0,17,0,5173491,6909298,0,0
84799,0,359678,0,706,1999655,0,4,25828.98,33.8,26,14,0,147459,283140,0,0
